,,,,
대학 감사 지적 사례 검색 서비스,,,,
,,,,
검색구분,"검색구분(학교명, 제목, 지적내용)",,,
,,,,
검색기간,,,,
,,,,
,,,,
연도,학교명,구분,제    목,지적내용
2017,목포대학교,종합감사,망실 물품 미보고,"5개 학과에서 물품 6점(취득가액 11,859천원)이 분실되었는데도 지체 없이 물품관리관에게 未보고"
2017,목포대학교,종합감사,가족수당 등 수령 부적정,"교직원 20명이 부양가족 변동신고를 하지 않거나 부양가족 신고를 제대로 하지 않았음에도 가족수당 12,520천원, 맞춤형복지비 2,500점(2,500천원) 등 합계 15,020천원 과다 수령"
2017,목포대학교,종합감사,학생 통학버스 수의계약 체결 부적정,"일반경쟁 입찰대상인 통학버스 용역계약 4건(계약금액 합계 4,576,249천원)에 대해 수의계약 체결"
2017,목포대학교,종합감사,대학원 논문지도수당 등 지급 부적정,"◦ 교원 52명에게 논문지도수당 합계 3,270천원 지급
◦ 교원 215명에게 교재연구비 합계 113,000천원 지급"
2017,목포대학교,종합감사,자기소관 사무 수당 지급 부적정,"◦ 교직원 140명에게 최소 30,000원부터 최대 1,500,000원까지 자기소관 사무와 관련한 수당 합계 40,869,670원 지급
◦ 교직원 16명에게 기술 평가수당 합계 3,200천원 지급"
2017,목포대학교,종합감사,교육‧연구 및 학생지도비 지급 부적정,"부교수가 교내연구과제로 지원된 연구결과물을 ‘연구(산학)영역’ 지표의 논문 성과 실적으로 산학협력단에 제출
 - 산학협력단은 위 결과물의 재사용 여부에 대한 검토 없이 평가점수 40점(B등급)을 부여함으로서 위 부교수에게 교육‧연구 및 학생지도 비용 443천원 지급"
2017,목포대학교,종합감사,전문공사 계약체결 부적정,전문공사 7건에 대하여 해당 건설업 등록을 하지 않은 업체들과 계약 체결
2017,목포대학교,종합감사,시설공사 감독 및 검사업무 부적정,"13건의 부적정 시공에 대하여 설계변경 조치 없이 그대로 준공 처리함으로써 합계 22,888천원 상당의 공사비 낭비"
2017,목포대학교,종합감사,시설공사 제경비 정산 부적정,"◦ 3건의 공사에서 업체가 사용불가 항목으로 집행한 환경보전비 합계 1,150천원 감액 未정산
◦ ㅇㅇㅇ㈜와 계약한 “도림캠퍼스 도시가스 인입 관로공사(계약금액 205,109천원)”를 준공처리하면서 공사금액에 계상되어 집행된 안전관리비 중 사용불가 항목으로 집행된 1,220천원 감액 未정산
◦ 2건의 공사에서 퇴직공제부금 미집행액 합계 7,920천원 감액 未정산"
2017,백제예술대학교,종합감사,교비 세입․ 세출 허위 회계처리,"◦ 대학 평가지표를 개선하기 위해 통학버스 및 기숙사 수입을 실제 수입보다 합계 671,136천원 더 많은 것으로 세입처리하고 동 금액을 지출하지도 않은 학생지원비 등으로 지출한 것처럼 허위로 회계처리
◦ 현장실습지원비 등으로 합계 1,445,585천원을 사용했음에도 장학금으로 지급한 것처럼 회계처리 - 위 금액 중 학과 홍보비 합계 328,400천원을 미정산"
